Part 1 - Dvořák: 9. Sinfonie (»Aus der Neuen Welt«) ∙ hr-Sinfonieorchester ∙ Andrés Orozco-Estrada,https://www.youtube.com/watch?v=jOofzffyDSA&t=25s,3
Part 4 - Dvořák: 9. Sinfonie (»Aus der Neuen Welt«) ∙ hr-Sinfonieorchester ∙ Andrés Orozco-Estrada,https://www.youtube.com/watch?v=jOofzffyDSA&t=2047s,3
Antonín Dvořák - Slaw  Tänze op  46 No 1 C dur   Presto,https://www.youtube.com/watch?v=fbPQf5diTv0&t=1s,3
"Ivo Kahánek  -  Antonín Dvořák: Humoresque No. 7 in G flat major, Op. 101 (B. 187)",https://www.youtube.com/watch?v=dr5hpNs_Ukw&t=2s,3
Beňačková sings Rusalka - Měsíčku na nebi,https://www.youtube.com/watch?v=Qul0b3e631k&t=0s,4
Richard Wagner: Die Meistersinger von Nürnberg (The Mastersingers of Nuremberg) - Overture,https://www.youtube.com/watch?v=hKKL77MgUBA&t=0s,4
Niccolò Paganini - Caprice No. 24,https://www.youtube.com/watch?v=WMLoBXgPil8&t=0s,4
"Richard Wagner - ""Tristan und Isolde"", Prelude",https://www.youtube.com/watch?v=J-qoaioG2UA&t=5s,4
"Prodaná nevěsta/ Bartered Bride - Duett ""Znám jednu dívku, ta má dukáty"" Dvorský & Novák",https://www.youtube.com/watch?v=HUXhEzIuRhQ&t=0s,4
"The Smetana Quartet: Bedrich Smetana, String Quartet N.1 in E minor (""From My Life"")",https://www.youtube.com/watch?v=_L1lPraMNUk&t=830s,4
Richard Wagner Lohengrin - Wedding March,https://www.youtube.com/watch?v=HUpineaywOI&t=0s,4
"The Smetana Quartet: Bedrich Smetana, String Quartet N.1 in E minor (""From My Life"")",https://www.youtube.com/watch?v=_L1lPraMNUk&t=3s,4
Vltava - Smetana: Má Vlast,https://www.youtube.com/watch?v=w6jlhLUgER0&t=899s,4
"Bedřich Smetana: The Bartered Bride, overture to the opera (Jakub Hrůša & Czech Philharmonic)",https://www.youtube.com/watch?v=arYtKZiXCec&t=0s,4
Tábor - Smetana: Má Vlast,https://www.youtube.com/watch?v=w6jlhLUgER0&t=2925s,4
"The Smetana Quartet: Bedrich Smetana, String Quartet N.1 in E minor (""From My Life"")",https://www.youtube.com/watch?v=_L1lPraMNUk&t=2s,4
Czech Dances - Set II - Obkročák,https://www.youtube.com/watch?v=0HKDAP5791U&t=0s,4
"The Smetana Quartet: Bedrich Smetana, String Quartet N.1 in E minor (""From My Life"")",https://www.youtube.com/watch?v=_L1lPraMNUk&t=1335s,4
Bedřich Smetana: Polka a minor | a moll (z Českých tanců) | Piano | Štěpán Kos,https://www.youtube.com/watch?v=tDV0Lav3bfU&t=1s,4
"Smetana Trio in G Minor, Op. 15 I. Moderato assai",https://www.youtube.com/watch?v=e5jSVHKv0Lo&t=1s,4
"The Smetana Quartet: Bedrich Smetana, String Quartet N.1 in E minor (""From My Life"")",https://www.youtube.com/watch?v=_L1lPraMNUk&t=1336s,4
Lang Lang  — Liszt's Liebestraum No. 3 on Steinway & Sons Spirio | r,https://www.youtube.com/watch?v=lhW_tRmpLFs&t=2s,4
Blaník -Smetana: Má Vlast,https://www.youtube.com/watch?v=w6jlhLUgER0&t=3616s,4
Garrick Ohlsson recording Smetana's České tance II 'Czech Dances (Furiant in A minor—Presto),https://www.youtube.com/watch?v=42-26CP1n2E&t=9s,4
Richard Wagner - Ride of The Valkyries,https://www.youtube.com/watch?v=GGU1P6lBW6Q&t=0s,4
Vyšehrad - Smetana: Má Vlast,https://www.youtube.com/watch?v=w6jlhLUgER0&t=0s,4
Smetana: Libuše - Overture - Vienna Philharmonic Orchestra/Neumann (1987),https://www.youtube.com/watch?v=RKHYzSnhoP4&t=0s,4
Šárka - Smetana: Má Vlast,https://www.youtube.com/watch?v=w6jlhLUgER0&t=1596s,4
Lang Lang  — Liszt's Liebestraum No. 3 on Steinway & Sons Spirio | r,https://www.youtube.com/watch?v=lhW_tRmpLFs&t=1s,4
Berlioz : Symphonie Fantastique (Fantastical Symphony) part 4,https://www.youtube.com/watch?v=5HgqPpjIH5c&t=2393s,4
Z českých luhů a hájů - Smetana: Má Vlast,https://www.youtube.com/watch?v=w6jlhLUgER0&t=2177s,4
"The Smetana Quartet: Bedrich Smetana, String Quartet N.1 in E minor (""From My Life"")",https://www.youtube.com/watch?v=_L1lPraMNUk&t=486s,4
"Smetana:Prodaná nevěsta/ Bartered Bride-Sextet ""Rozmysli se,Mařenko,rozmysli""",https://www.youtube.com/watch?v=cR5t9YUvzCE&t=0s,4
Valentina Lisitsa plays Liszt's Hungarian Rhapsody No. 2,https://www.youtube.com/watch?v=LdH1hSWGFGU&t=7s,4
B. Smetana: The Bartered Bride (Overture),https://www.youtube.com/watch?v=9eWXqxKX0KI&t=1s,4
Berlioz : Symphonie Fantastique (Fantastical Symphony) part 4,https://www.youtube.com/watch?v=5HgqPpjIH5c&t=2394s,4
Lang Lang - Last Night Proms 2011 - Liszt Piano Concerto No. 1 in E flat major,https://www.youtube.com/watch?v=8yE3Dz0-koA&t=29s,4
Proč bychom se netěšili,https://www.youtube.com/watch?v=Na6piObEzws&t=0s,4
Berlioz : Symphonie Fantastique (Fantastical Symphony) part 5,https://www.youtube.com/watch?v=5HgqPpjIH5c&t=2667s,4
Bedřich Smetana: Polka a minor | a moll (z Českých tanců) | Piano | Štěpán Kos,https://www.youtube.com/watch?v=tDV0Lav3bfU&t=2s,4
Berlioz : Symphonie Fantastique (Fantastical Symphony) part 1,https://www.youtube.com/watch?v=5HgqPpjIH5c&t=35s,4
Valentina Lisitsa plays Liszt's Hungarian Rhapsody No. 2,https://www.youtube.com/watch?v=LdH1hSWGFGU&t=8s,4
Garrick Ohlsson recording Smetana's České tance II 'Czech Dances (Furiant in A minor—Presto),https://www.youtube.com/watch?v=42-26CP1n2E&t=8s,4
Borodin - Symphony No. 2 «The Bogatyrs» (Score),https://www.youtube.com/watch?v=4CCe4_SPgLc&t=2s,5
Let čmeláka. Z opery Pohádka o caru Saltánovi,https://www.youtube.com/watch?v=bR9RII2loI8&t=0s,5
Vienna Philharmonic & Zubin Mehta - Grieg: Morning Mood (Summer Night Concert 2015),https://www.youtube.com/watch?v=7lKo6TYDXCQ&t=5s,5
MODEST PETROVIČ MUSORGSKIJ - Obrázky z výstavy / Pictures at an Exhibition,https://www.youtube.com/watch?v=ixCFpUNcNsU&t=0s,5
